"Era","Lang","LawType","Num","Year","FullYear","LawNum","LawTitle","xml","DataInfo","PromulgateDay","PromulgateMonth"
"Meiji","ja","CabinetOrder","337","05",1872,"明治五年太政官布告第三百三十七号","明治五年太政官布告第三百三十七号（改暦ノ布告）","105DF0000000337_20150801_000000000000000.xml",,,
"Meiji","ja","CabinetOrder","65","06",1873,"明治六年太政官布告第六十五号","明治六年太政官布告第六十五号（絞罪器械図式）","106DF0000000065_20150801_000000000000000.xml",,,
"Meiji","ja","CabinetOrder","54","08",1875,"明治八年太政官布告第五十四号","明治八年太政官布告第五十四号（勲章制定ノ件）","108DF0000000054_20150801_000000000000000.xml",,,
"Meiji","ja","CabinetOrder","103","08",1875,"明治八年太政官布告第百三号","明治八年太政官布告第百三号（裁判事務心得）　抄","108DF0000000103_20150801_000000000000000.xml",,,
"Meiji","ja","CabinetOrder","152","08",1875,"明治八年太政官達第百五十二号","明治八年太政官達第百五十二号（不用物品等払下ノトキ其管庁所属ノ官吏入札禁止ノ件）","108DT0000000152_20150801_000000000000000.xml",,,
"Meiji","ja","CabinetOrder","97","10",1877,"明治十年太政官達第九十七号","明治十年太政官達第九十七号（大勲位菊花大綬章及副章製式ノ件）","110DT0000000097_20150801_000000000000000.xml",,,
"Meiji","ja","CabinetOrder","36","13",1880,"明治十三年太政官布告第三十六号","明治十三年太政官布告第三十六号（刑法　抄）","113DF0000000036_20150801_000000000000000.xml",,,
"Meiji","ja","CabinetOrder","63","14",1881,"明治十四年太政官布告第六十三号","明治十四年太政官布告第六十三号（褒章条例）","114DF0000000063_20150801_000000000000000.xml",,,
"Meiji","ja","CabinetOrder","27","16",1883,"明治十六年太政官達第二十七号","明治十六年太政官達第二十七号（官報の発行）","116DT0000000027_20150801_000000000000000.xml",,,
"Meiji","ja","Act","32","17",1884,"明治十七年太政官布告第三十二号","明治十七年太政官布告第三十二号（爆発物取締罰則）","117DF1000000032_20170810_429AC0000000067.xml","200402e80k80m01",,
"Meiji","ja","ImperialOrder","0","19",1886,"明治十九年勅令第〇号","メートル条約","119IO0000000000_20150801_000000000000000.xml",,,
"Meiji","ja","ImperialOrder","51","19",1886,"明治十九年勅令第五十一号","明治十九年勅令第五十一号（本初子午線経度計算方及標準時ノ件）","119IO0000000051_20150801_000000000000000.xml",,,
"Meiji","ja","ImperialOrder","1","20",1887,"明治二十年勅令第一号","海底電信線保護万国連合条約ノ説明書","120IO0000000001_20150801_000000000000000.xml",,,
"Meiji","ja","ImperialOrder","002","20",1887,"明治二十年勅令第二号","海上法ノ要義ヲ確定スル為メ西暦千八百五十六年四月十六日巴里公会ニ於テ決定セシ宣言","120IO0000000002_20150801_000000000000000.xml",,,
"Meiji","ja","ImperialOrder","039","20",1887,"明治二十年勅令第三十九号","官吏服務紀律","120IO0000000039_19470502_322IO0000000206.xml",,,
"Meiji","ja","ImperialOrder","1","21",1888,"明治二十一年勅令第一号","明治二十一年勅令第一号（宝冠章及大勲位菊花章頸飾ニ関スル件）","121IO0000000001_20150801_000000000000000.xml",,,
"Meiji","ja","ImperialOrder","76","21",1888,"明治二十一年勅令第七十六号","勲章佩用式","121IO0000000076_20150801_000000000000000.xml",,,
"Meiji","ja","Act","34","22",1889,"明治二十二年法律第三十四号","明治二十二年法律第三十四号（決闘罪ニ関スル件）","122AC0000000034_20150801_000000000000000.xml","200402e80k80m01",,
"Meiji","ja","ImperialOrder","103","22",1889,"明治二十二年勅令第百三号","明治二十二年勅令第百三号（帝国憲法発布記念章制定ノ件）","122IO0000000103_20150801_000000000000000.xml","200303e04k11m01",,
"Meiji","ja","MinisterialOrdinance","012","22",1889,"明治二十二年閣令第十二号","歳入歳出予算概定順序","122M10000001012_20161001_000000000000000.xml",,,
"Meiji","ja","MinisterialOrdinance","019","22",1889,"明治二十二年閣令第十九号","予定経費算出概則","122M10000001019_20161001_000000000000000.xml",,,
"Meiji","ja","Act","1","23",1890,"明治二十三年法律第一号","保管金規則","123AC0000000001_20150801_000000000000000.xml",,,
"Meiji","ja","MinisterialOrdinance","004","25",1892,"明治二十五年閣令第四号","明治二十五年閣令第四号（各官庁ニ於テ公務上在外公使領事ヲ煩ハストキ外務大臣ヘ照会ノ件）","125M10000001004_20161001_000000000000000.xml",,,
"Meiji","ja","ImperialOrder","261","26",1893,"明治二十六年勅令第二百六十一号","明治二十六年勅令第二百六十一号（政府ノ債務ニ対シ差押命令ヲ受クル場合ニ於ケル会計上ノ規程）","126IO0000000261_20150801_000000000000000.xml","200402e80k80m01",,
"Meiji","ja","ImperialOrder","23","27",1894,"明治二十七年勅令第二十三号","明治二十七年勅令第二十三号（大婚二十五年祝典之章制定ノ件）","127IO0000000023_20150801_000000000000000.xml","200303e04k11m01",,
"Meiji","ja","MinisterialOrdinance","1","27",1894,"明治二十七年閣令第一号","褒章条例取扱手続","127M10000001001_20161001_000000000000000.xml",,,
